id,name,firstname,age,birth_date,nationality,height,weight,injured,league,team,season,games_appearances,games_lineups,games_minutes,games_position
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,La Liga,Barcelona,2020,18,18,1485,Defender
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,Copa del Rey,Barcelona,2020,2,2,202,Defender
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,UEFA Champions League,Barcelona,2020,3,3,236,Defender
136,Piqué,Gerard,35,1987-02-02,Spain,194 cm,85 kg,False,Club Friendlies,Barcelona,2020,2,2,109,Defender
141,M. Wagué,Moussa,25,1998-10-04,Senegal,177 cm,70 kg,False,Friendlies Clubs,Barcelona,2020,0,0,0,Defender
142,Rafinha,Rafael,31,1992-02-12,Brazil,174 cm,71 kg,False,La Liga,Barcelona,2020,0,0,0,Midfielder
142,Rafinha,Rafael,31,1992-02-12,Brazil,174 cm,71 kg,False,UEFA Champions League,Barcelona,2020,0,0,0,Midfielder
142,Rafinha,Rafael,31,1992-02-12,Brazil,174 cm,71 kg,False,Friendlies Clubs,Barcelona,2020,0,0,0,Midfielder
144,Sergio Busquets,Sergio,35,1988-07-16,Spain,189 cm,73 kg,False,La Liga,Barcelona,2020,36,32,2529,Midfielder
144,Sergio Busquets,Sergio,35,1988-07-16,Spain,189 cm,73 kg,False,Copa del Rey,Barcelona,2020,6,5,470,Midfielder
144,Sergio Busquets,Sergio,35,1988-07-16,Spain,189 cm,73 kg,False,UEFA Champions League,Barcelona,2020,6,4,335,Midfielder
144,Sergio Busquets,Sergio,35,1988-07-16,Spain,189 cm,73 kg,False,Friendlies Clubs,Barcelona,2020,2,2,109,Midfielder
147,Philippe Coutinho,Philippe,31,1992-06-12,Brazil,172 cm,68 kg,False,La Liga,Barcelona,2020,12,8,657,Midfielder
147,Philippe Coutinho,Philippe,31,1992-06-12,Brazil,172 cm,68 kg,False,Copa del Rey,Barcelona,2020,0,0,0,Midfielder
147,Philippe Coutinho,Philippe,31,1992-06-12,Brazil,172 cm,68 kg,False,UEFA Champions League,Barcelona,2020,2,2,135,Midfielder
